es,gn,notes
Comprar,Jogua,verbo
Campo viejo,Okára tuja,sintagma nominal
Pimienta nuevo,Kỹikĩ pyahu,sintagma nominal
Sapo feo,Kururu vai,sintagma nominal
Tomate grande,Tomáte guasu,sintagma nominal
Cuchillo barato,Kuchillo hepy'ỹ,sintagma nominal
Tomate lento,Tomáte mbeguemi,sintagma nominal
Hormiga amarillo,Tapi'í Sa'yju,animal+color
Buho amarillo,Urukure'a Sa'yju,animal+color
Río bonito,Ysyry porã,sintagma nominal
Fruta lento,Yva mbeguemi,sintagma nominal
Tomate pequeño,Tomáte michĩ,sintagma nominal
Azúcar,Azuka,alimento
Hormiga rojo,Tapi'í Pytã,animal+color
Ajo barato,Ajo hepy'ỹ,sintagma nominal
Sapo negro,Kururu Hũ,animal+color
Río barato,Ysyry hepy'ỹ,sintagma nominal
Águila rojo,Taguato Pytã,animal+color
Zorro lento,Aguara mbeguemi,sintagma nominal
Águila verde,Taguato Hovyũ,animal+color
Plaza nuevo,Plása pyahu,sintagma nominal
Carne pequeño,So'o michĩ,sintagma nominal
Necesitar,Tekotevẽ,verbo
Necesito campo,Aikotevẽ Okára,frase: necesidad
Fruta viejo,Yva tuja,sintagma nominal
Sol lento,Kuarahy mbeguemi,sintagma nominal
Cuchillo caro,Kuchillo hepy,sintagma nominal
Venir,Ju,verbo
Cebolla bonito,Sevolla porã,sintagma nominal
Cebolla pequeño,Sevolla michĩ,sintagma nominal
Quiero ajo,Aipota Ajo,frase: deseo
Ajo lento,Ajo mbeguemi,sintagma nominal
Lago feo,Ypa vai,sintagma nominal
Patio caro,Kora hepy,sintagma nominal
Gallina caro,Ryguasu hepy,sintagma nominal
Maíz grande,Avati guasu,sintagma nominal
Habitación bonito,Kotý porã,sintagma nominal
Mariposa caro,Panambi hepy,sintagma nominal
Zorrino pequeño,Suru michĩ,sintagma nominal
Perro bonito,Jagua porã,sintagma nominal
Cocina barato,Kokina hepy'ỹ,sintagma nominal
Lago barato,Ypa hepy'ỹ,sintagma nominal
Buho caro,Urukure'a hepy,sintagma nominal
Sol bonito,Kuarahy porã,sintagma nominal
Mercado barato,Merkádo hepy'ỹ,sintagma nominal
Cuchara lento,Kucharã mbeguemi,sintagma nominal
Cerdo naranja,Kure Narã,animal+color
Necesito olla,Aikotevẽ Kyguãi,frase: necesidad
Nuestro primo,Ñande Prímo,posesivo+familia
Piso rápido,Yvy pya'e,sintagma nominal
Nuestro tía,Ñande Tía,posesivo+familia
Cama bonito,Tupao porã,sintagma nominal
Tortuga viejo,Karaí tuja,sintagma nominal
Pepino,Pepino,verdura
Casa caro,Óga hepy,sintagma nominal
Ciudad lento,Táva mbeguemi,sintagma nominal
Plato bonito,Atyha'i porã,sintagma nominal
Café rápido,Kafe pya'e,sintagma nominal
Águila amarillo,Taguato Sa'yju,animal+color
Tortuga rosa,Karaí Pytã asy,animal+color
Zorro verde,Aguara Hovyũ,animal+color
Cerdo caro,Kure hepy,sintagma nominal
Piña feo,Karapepẽ vai,sintagma nominal
Yerba mate grande,Ka'a guasu,sintagma nominal
Iglesia caro,Tupao hepy,sintagma nominal
Piso bonito,Yvy porã,sintagma nominal
Caballo pequeño,Kavaju michĩ,sintagma nominal
Escuela pequeño,Mbo'ehao michĩ,sintagma nominal
Caballo barato,Kavaju hepy'ỹ,sintagma nominal
Loro bonito,Tu'i porã,sintagma nominal
Olla,Kyguãi,hogar
Río,Ysyry,lugar/naturaleza
Águila azul,Taguato Hovy,animal+color
Sol feo,Kuarahy vai,sintagma nominal
Techo feo,Apytere vai,sintagma nominal
Sandía nuevo,Sandía pyahu,sintagma nominal
Escribir,Hai,verbo
Mesa barato,Atyha hepy'ỹ,sintagma nominal
Leche barato,Kamby hepy'ỹ,sintagma nominal
Armadillo rápido,Tatu pya'e,sintagma nominal
Loro feo,Tu'i vai,sintagma nominal
Cebolla grande,Sevolla guasu,sintagma nominal
Tomate barato,Tomáte hepy'ỹ,sintagma nominal
Uva bonito,Yva rykue porã,sintagma nominal
